#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:02:47      0     23     38      -     34      9      0      0      0      0    405    255 
 20240215   18:02:48      0     25     38      -     39     10      0      0      0      0    405    270 
 20240215   18:02:49      0     23     38      -     38      9      0      0      0      0    405    270 
 20240215   18:02:50      0     23     38      -     37      9      0      0      0      0    405    255 
 20240215   18:02:51      0     23     38      -     36      9      0      0      0      0    405    270 
 20240215   18:02:52      0     24     38      -     36     10      0      0      0      0    405    285 
 20240215   18:02:53      0     24     38      -     36     10      0      0      0      0    405    270 
 20240215   18:02:54      0     24     38      -     36     10      0      0      0      0    405    270 
 20240215   18:02:55      0     24     38      -     35      9      0      0      0      0    405    255 
 20240215   18:02:56      0     24     38      -     40     10      0      0      0      0    405    255 
 20240215   18:02:57      0     23     38      -     39     10      0      0      0      0    405    255 
 20240215   18:02:58      0     23     38      -     37     10      0      0      0      0    405    255 
 20240215   18:02:59      0     24     38      -     37      9      0      0      0      0    405    255 
 20240215   18:03:01      0     23     38      -     39     10      0      0      0      0    405    255 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:03:02      0     23     38      -     42     10      0      0      0      0    405    255 
 20240215   18:03:03      0     24     38      -     38      9      0      0      0      0    405    255 
 20240215   18:03:04      0     23     38      -     36      9      0      0      0      0    405    285 
 20240215   18:03:05      0     25     38      -     34      9      0      0      0      0    405    315 
 20240215   18:03:06      0     24     38      -     34      9      0      0      0      0    405    315 
 20240215   18:03:07      0     23     38      -     35     10      0      0      0      0    405    285 
 20240215   18:03:08      0     23     38      -     36     11      0      0      0      0    405    285 
 20240215   18:03:09      0     23     38      -     35     10      0      0      0      0    405    300 
 20240215   18:03:10      0     23     38      -     35     10      0      0      0      0    405    300 
 20240215   18:03:11      0     23     38      -     37     10      0      0      0      0    405    285 
 20240215   18:03:12      0     24     38      -     38     10      0      0      0      0    405    285 
 20240215   18:03:13      0     24     38      -     37     10      0      0      0      0    405    315 
 20240215   18:03:14      0     23     38      -     39     10      0      0      0      0    405    315 
 20240215   18:03:15      0     24     38      -     35      9      0      0      0      0    405    315 
 20240215   18:03:16      0     25     38      -     38     10      0      0      0      0    405    300 
 20240215   18:03:17      0     23     38      -     33      9      0      0      0      0    405    285 
 20240215   18:03:18      0     24     39      -     32      9      0      0      0      0    405    270 
 20240215   18:03:19      0     24     38      -     33      9      0      0      0      0    405    285 
 20240215   18:03:20      0     24     39      -     29      9      0      0      0      0    405    315 
 20240215   18:03:21      0     23     38      -     32      9      0      0      0      0    405    315 
 20240215   18:03:22      0     23     38      -     37     11      0      0      0      0    405    300 
 20240215   18:03:23      0     23     39      -     36     10      0      0      0      0    405    285 
 20240215   18:03:24      0     24     39      -     35     10      0      0      0      0    405    270 
 20240215   18:03:25      0     24     38      -     40     11      0      0      0      0    405    270 
 20240215   18:03:26      0     24     39      -     35     10      0      0      0      0    405    270 
 20240215   18:03:27      0     24     39      -     36      9      0      0      0      0    405    270 
 20240215   18:03:28      0     24     39      -     34      9      0      0      0      0    405    285 
 20240215   18:03:29      0     24     39      -     36      9      0      0      0      0    405    300 
 20240215   18:03:30      0     23     39      -     37     12      0      0      0      0    405    300 
 20240215   18:03:31      0     24     39      -     38     10      0      0      0      0    405    315 
 20240215   18:03:32      0     24     39      -     37     10      0      0      0      0    405    315 
 20240215   18:03:33      0     24     39      -     37     10      0      0      0      0    405    300 
 20240215   18:03:34      0     24     39      -     36     10      0      0      0      0    405    300 
 20240215   18:03:35      0     23     39      -     34     10      0      0      0      0    405    330 
 20240215   18:03:36      0     24     39      -     37     11      0      0      0      0    405    315 
 20240215   18:03:37      0     23     39      -     38     10      0      0      0      0    405    315 
 20240215   18:03:38      0     23     39      -     36      9      0      0      0      0    405    300 
 20240215   18:03:39      0     24     39      -     34      9      0      0      0      0    405    285 
 20240215   18:03:40      0     24     39      -     38     10      0      0      0      0    405    270 
 20240215   18:03:41      0     23     39      -     41     10      0      0      0      0    405    285 
 20240215   18:03:42      0     24     39      -     39     10      0      0      0      0    405    285 
 20240215   18:03:43      0     24     39      -     40     10      0      0      0      0    405    285 
 20240215   18:03:44      0     24     39      -     36      9      0      0      0      0    405    285 
 20240215   18:03:45      0     24     39      -     37     10      0      0      0      0    405    270 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:03:46      0     24     39      -     39     10      0      0      0      0    405    270 
 20240215   18:03:47      0     24     39      -     41     10      0      0      0      0    405    270 
 20240215   18:03:48      0     24     39      -     39     10      0      0      0      0    405    270 
 20240215   18:03:49      0     24     39      -     41     10      0      0      0      0    405    300 
 20240215   18:03:50      0     24     39      -     41     10      0      0      0      0    405    315 
 20240215   18:03:51      0     24     39      -     33      9      0      0      0      0    405    315 
 20240215   18:03:52      0     23     39      -     37     11      0      0      0      0    405    300 
 20240215   18:03:53      0     24     39      -     38     10      0      0      0      0    405    285 
 20240215   18:03:54      0     23     39      -     38     10      0      0      0      0    405    270 
 20240215   18:03:55      0     23     39      -     32      9      0      0      0      0    405    360 
 20240215   18:03:56      0     24     39      -     31      9      0      0      0      0    405    315 
 20240215   18:03:57      0     23     39      -     34      9      0      0      0      0    405    300 
 20240215   18:03:58      0     24     39      -     31      9      0      0      0      0    405    285 
 20240215   18:03:59      0     23     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:00      0     24     39      -     36     10      0      0      0      0    405    270 
 20240215   18:04:01      0     24     39      -     35      9      0      0      0      0    405    255 
 20240215   18:04:02      0     24     39      -     37      9      0      0      0      0    405    255 
 20240215   18:04:03      0     23     39      -     40     10      0      0      0      0    405    255 
 20240215   18:04:04      0     23     39      -     43     11      0      0      0      0    405    285 
 20240215   18:04:05      0     24     39      -     37     10      0      0      0      0    405    300 
 20240215   18:04:06      0     24     39      -     33      9      0      0      0      0    405    300 
 20240215   18:04:07      0     24     39      -     35     10      0      0      0      0    405    285 
 20240215   18:04:08      0     23     39      -     38     10      0      0      0      0    405    300 
 20240215   18:04:09      0     24     39      -     32      9      0      0      0      0    405    285 
 20240215   18:04:10      0     23     39      -     36     10      0      0      0      0    405    270 
 20240215   18:04:11      0     23     39      -     36      9      0      0      0      0    405    255 
 20240215   18:04:12      0     24     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:13      0     23     39      -     36     10      0      0      0      0    405    270 
 20240215   18:04:14      0     23     39      -     35      9      0      0      0      0    405    255 
 20240215   18:04:15      0     24     39      -     35      9      0      0      0      0    405    270 
 20240215   18:04:16      0     24     39      -     35     10      0      0      0      0    405    270 
 20240215   18:04:17      0     24     39      -     37     10      0      0      0      0    405    270 
 20240215   18:04:18      0     24     39      -     38      9      0      0      0      0    405    255 
 20240215   18:04:19      0     23     39      -     34      9      0      0      0      0    405    255 
 20240215   18:04:20      0     24     39      -     37      9      0      0      0      0    405    240 
 20240215   18:04:21      0     24     39      -     36      9      0      0      0      0    405    255 
 20240215   18:04:22      0     23     39      -     38     10      0      0      0      0    405    255 
 20240215   18:04:23      0     24     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:24      0     24     39      -     38     10      0      0      0      0    405    270 
 20240215   18:04:26      0     23     39      -     35      9      0      0      0      0    405    255 
 20240215   18:04:27      0     24     39      -     36      9      0      0      0      0    405    255 
 20240215   18:04:28      0     24     39      -     37      9      0      0      0      0    405    240 
 20240215   18:04:29      0     24     39      -     41     10      0      0      0      0    405    255 
 20240215   18:04:30      0     25     39      -     39     10      0      0      0      0    405    255 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:04:31      0     24     39      -     39     10      0      0      0      0    405    255 
 20240215   18:04:32      0     23     39      -     38      9      0      0      0      0    405    255 
 20240215   18:04:33      0     24     39      -     39     10      0      0      0      0    405    255 
 20240215   18:04:34      0     23     39      -     36     10      0      0      0      0    405    255 
 20240215   18:04:35      0     24     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:36      0     23     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:37      0     24     39      -     34      9      0      0      0      0    405    270 
 20240215   18:04:38      0     23     39      -     35      9      0      0      0      0    405    255 
 20240215   18:04:39      0     24     39      -     39     10      0      0      0      0    405    255 
 20240215   18:04:40      0     23     39      -     37      9      0      0      0      0    405    255 
 20240215   18:04:41      0     24     39      -     37     10      0      0      0      0    405    255 
 20240215   18:04:42      0     23     39      -     35      9      0      0      0      0    405    255 
 20240215   18:04:43      0     23     39      -     36      9      0      0      0      0    405    270 
 20240215   18:04:44      0     23     39      -     35      9      0      0      0      0    405    285 
 20240215   18:04:45      0     24     39      -     36      9      0      0      0      0    405    300 
 20240215   18:04:46      0     24     39      -     35      9      0      0      0      0    405    300 
 20240215   18:04:47      0     24     39      -     35      9      0      0      0      0    405    285 
 20240215   18:04:48      0     24     39      -     33      9      0      0      0      0    405    300 
 20240215   18:04:49      0     24     39      -     33      9      0      0      0      0    405    300 
 20240215   18:04:50      0     24     39      -     35      9      0      0      0      0    405    285 
 20240215   18:04:51      0     23     39      -     36      9      0      0      0      0    405    285 
 20240215   18:04:52      0     24     39      -     35      9      0      0      0      0    405    270 
 20240215   18:04:53      0     24     39      -     36      9      0      0      0      0    405    270 
 20240215   18:04:54      0     24     39      -     40     10      0      0      0      0    405    270 
 20240215   18:04:55      0     24     39      -     39     10      0      0      0      0    405    270 
 20240215   18:04:56      0     24     39      -     34     10      0      0      0      0    405    270 
 20240215   18:04:57      0     24     39      -     37      9      0      0      0      0    405    255 
 20240215   18:04:58      0     24     39      -     37      9      0      0      0      0    405    270 
 20240215   18:04:59      0     24     39      -     41     10      0      0      0      0    405    285 
 20240215   18:05:00      0     24     39      -     38     10      0      0      0      0    405    285 
 20240215   18:05:01      0     23     39      -     36      9      0      0      0      0    405    270 
 20240215   18:05:02      0     24     39      -     38     10      0      0      0      0    405    285 
 20240215   18:05:03      0     24     39      -     35      9      0      0      0      0    405    285 
 20240215   18:05:04      0     24     39      -     36     10      0      0      0      0    405    285 
 20240215   18:05:05      0     24     39      -     36     10      0      0      0      0    405    300 
 20240215   18:05:06      0     24     39      -     36     10      0      0      0      0    405    300 
 20240215   18:05:07      0     24     39      -     35     10      0      0      0      0    405    315 
 20240215   18:05:08      0     24     39      -     35     10      0      0      0      0    405    315 
 20240215   18:05:09      0     23     39      -     36     10      0      0      0      0    405    315 
 20240215   18:05:10      0     24     39      -     33      9      0      0      0      0    405    315 
 20240215   18:05:11      0     24     39      -     35     10      0      0      0      0    405    300 
 20240215   18:05:12      0     25     39      -     37     11      0      0      0      0    405    315 
 20240215   18:05:13      0     27     39      -     31      9      0      0      0      0    810    600 
 20240215   18:05:14      0     26     39      -     13      3      0      0      0      0    810    600 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:05:15      0     30     39      -     28      7      0      0      0      0    810    525 
 20240215   18:05:16      0     25     39      -      9      3      0      0      0      0    405    405 
 20240215   18:05:17      0     19     39      -     18      7      0      0      0      0    405    330 
 20240215   18:05:18      0     19     39      -     30     10      0      0      0      0    405    255 
 20240215   18:05:19      0     29     39      -     39     11      0      0      0      0    810    510 
 20240215   18:05:20      0     28     39      -     24      5      0      0      0      0    810    510 
 20240215   18:05:21      0     24     39      -     36     12      0      0      0      0    405    390 
 20240215   18:05:22      0     23     39      -     34      9      0      0      0      0    405    360 
 20240215   18:05:23      0     23     39      -     33      9      0      0      0      0    405    330 
 20240215   18:05:24      0     23     39      -     35     10      0      0      0      0    405    315 
 20240215   18:05:25      0     23     39      -     37      9      0      0      0      0    405    315 
 20240215   18:05:26      0     23     39      -     39     11      0      0      0      0    405    300 
 20240215   18:05:27      0     24     39      -     38     10      0      0      0      0    405    285 
 20240215   18:05:28      0     23     39      -     39     11      0      0      0      0    405    300 
 20240215   18:05:29      0     24     39      -     35      9      0      0      0      0    405    300 
 20240215   18:05:30      0     25     39      -     36      9      0      0      0      0    405    285 
 20240215   18:05:31      0     23     39      -     35      9      0      0      0      0    405    285 
 20240215   18:05:32      0     24     39      -     33      9      0      0      0      0    405    300 
 20240215   18:05:33      0     24     39      -     35      9      0      0      0      0    405    285 
 20240215   18:05:34      0     23     39      -     34      9      0      0      0      0    405    285 
 20240215   18:05:35      0     24     39      -     36     10      0      0      0      0    405    345 
 20240215   18:05:36      0     24     39      -     36     11      0      0      0      0    405    375 
 20240215   18:05:37      0     27     39      -     24      5      0      0      0      0    810    450 
 20240215   18:05:38      0     26     39      -     24      4      0      0      0      0    405    330 
 20240215   18:05:39      0     24     39      -     32      9      0      0      0      0    405    300 
 20240215   18:05:40      0     24     39      -     32      8      0      0      0      0    405    285 
 20240215   18:05:41      0     24     39      -     34     10      0      0      0      0    405    330 
 20240215   18:05:42      0     24     39      -     41     12      0      0      0      0    405    345 
 20240215   18:05:43      0     23     39      -     33      9      0      0      0      0    405    345 
 20240215   18:05:44      0     25     39      -     34     10      0      0      0      0    405    315 
 20240215   18:05:45      0     25     39      -     30      8      0      0      0      0    405    330 
 20240215   18:05:46      0     24     39      -     33      9      0      0      0      0    405    330 
 20240215   18:05:47      0     24     39      -     51     14      0      0      0      0    405    375 
 20240215   18:05:49      0     24     39      -     34      9      0      0      0      0    405    375 
 20240215   18:05:50      0     25     39      -     35     10      0      0      0      0    405    315 
 20240215   18:05:51      0     25     39      -     33      9      0      0      0      0    405    360 
 20240215   18:05:52      0     19     39      -      1     12      0      0      0      0    405    240 
 20240215   18:05:53      0     14     39      -      2      2      0      0      0      0    405    210 
 20240215   18:05:54      0     13     39      -      1      2      0      0      0      0    405    210 
 20240215   18:05:55      0     13     39      -      2      2      0      0      0      0    405    210 
 20240215   18:05:56      0     17     39      -     48     14      0      0      0      0    405    285 
 20240215   18:05:57      0     23     39      -     35      9      0      0      0      0    405    285 
 20240215   18:05:58      0     24     39      -     34      9      0      0      0      0    405    270 
 20240215   18:05:59      0     23     39      -     32      9      0      0      0      0    405    270 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:06:00      0     23     39      -     34      9      0      0      0      0    405    255 
 20240215   18:06:01      0     23     39      -     38      9      0      0      0      0    405    240 
 20240215   18:06:02      0     24     39      -     33      8      0      0      0      0    405    225 
 20240215   18:06:03      0     24     39      -     37      9      0      0      0      0    405    225 
 20240215   18:06:04      0     24     39      -     39      9      0      0      0      0    405    240 
 20240215   18:06:05      0     25     39      -     38      9      0      0      0      0    405    255 
 20240215   18:06:06      0     24     39      -     37      9      0      0      0      0    405    255 
 20240215   18:06:07      0     23     39      -     34      8      0      0      0      0    405    240 
 20240215   18:06:08      0     24     39      -     35      8      0      0      0      0    405    240 
 20240215   18:06:09      0     23     39      -     38      9      0      0      0      0    405    240 
 20240215   18:06:10      0     24     39      -     39      9      0      0      0      0    405    225 
 20240215   18:06:11      0     23     39      -     36      9      0      0      0      0    405    240 
 20240215   18:06:12      0     23     39      -     34      8      0      0      0      0    405    255 
 20240215   18:06:13      0     25     39      -     32      8      0      0      0      0    405    240 
 20240215   18:06:14      0     24     39      -     37      9      0      0      0      0    405    240 
 20240215   18:06:15      0     24     39      -     38      9      0      0      0      0    405    225 
 20240215   18:06:16      0     24     39      -     36      8      0      0      0      0    405    240 
 20240215   18:06:17      0     23     39      -     39      8      0      0      0      0    405    240 
 20240215   18:06:18      0     25     39      -     35      8      0      0      0      0    405    255 
 20240215   18:06:19      0     24     39      -     34      8      0      0      0      0    405    255 
 20240215   18:06:20      0     23     39      -     33      8      0      0      0      0    405    270 
 20240215   18:06:21      0     25     39      -     33      8      0      0      0      0    405    270 
 20240215   18:06:22      0     24     39      -     35      9      0      0      0      0    405    255 
 20240215   18:06:23      0     25     39      -     38      9      0      0      0      0    405    255 
 20240215   18:06:24      0     25     39      -     40      9      0      0      0      0    405    255 
 20240215   18:06:25      0     24     39      -     40      9      0      0      0      0    405    255 
 20240215   18:06:26      0     23     39      -     37      9      0      0      0      0    405    255 
 20240215   18:06:27      0     24     39      -     36      9      0      0      0      0    405    270 
 20240215   18:06:28      0     24     39      -     35      9      0      0      0      0    405    270 
 20240215   18:06:29      0     24     39      -     36      9      0      0      0      0    405    240 
 20240215   18:06:30      0     24     39      -     41      9      0      0      0      0    405    255 
 20240215   18:06:31      0     24     39      -     39      9      0      0      0      0    405    255 
 20240215   18:06:32      0     24     39      -     39      9      0      0      0      0    405    255 
 20240215   18:06:33      0     23     39      -     40      9      0      0      0      0    405    240 
 20240215   18:06:34      0     23     39      -     35      9      0      0      0      0    405    240 
 20240215   18:06:35      0     24     39      -     37      9      0      0      0      0    405    240 
 20240215   18:06:36      0     24     39      -     36      9      0      0      0      0    405    240 
 20240215   18:06:37      0     24     39      -     36      9      0      0      0      0    405    240 
 20240215   18:06:38      0     24     39      -     35      9      0      0      0      0    405    240 
 20240215   18:06:39      0     24     39      -     35      9      0      0      0      0    405    240 
 20240215   18:06:40      0     24     39      -     38      9      0      0      0      0    405    240 
 20240215   18:06:41      0     24     39      -     36      9      0      0      0      0    405    225 
